2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
51-100;101-150;Universitat Politècnica de Catalunya · BarcelonaTech (UPC);Spain;68,6;67,1;83,2;75,4;
51-100;51-100;Université catholique de Louvain (UCLouvain);Belgium;71,6;61,1;80,3;76,3;
51-100;51-100;University of Amsterdam;Netherlands;64,3;74;89,5;82,2;
51-100;51-100;University of Bristol;United Kingdom;69,7;67,5;92,1;90,6;
51-100;51-100;University of British Columbia;Canada;74,5;82,1;86,4;80,1;
51-100;51-100;University of California, Davis;United States;65,3;71,3;89,3;82,8;
51-100;51-100;University of California, San Diego (UCSD);United States;69,4;70,7;89,7;85,3;
51-100;51-100;University of Copenhagen;Denmark;70,4;66,5;88,3;82,8;
51-100;51-100;University of Illinois at Urbana-Champaign;United States;74,4;73,1;86,6;81,5;
51-100;51-100;University of Minnesota Twin Cities;United States;68,2;66,2;88,4;88,6;
51-100;51-100;University of North Carolina, Chapel Hill;United States;73,3;68,6;86,7;83,5;
51-100;51-100;University of Science and Technology of China;China (Mainland);70,8;58,9;86,1;87,6;
51-100;51-100;University of Southern California;United States;62,8;69,1;91,6;89,1;
51-100;47=;University of Texas at Austin;United States;73,4;80;88;82,2;
51-100;51-100;University of Vienna;Austria;67,2;55,7;89,9;89,7;
51-100;51-100;University of Waterloo;Canada;73,9;76,8;79,7;78,6;
51-100;51-100;Virginia Polytechnic Institute and State University;United States;68,5;65,1;82,6;77,1;
51-100;51-100;Yonsei University;South Korea;78,1;78,6;73,2;69,8;
51-100;51-100;Zhejiang University;China (Mainland);71,6;69,6;85,2;82,8;
101-150;101-150;Aarhus University;Denmark;67,7;62,2;81,6;79,4;
101-150;101-150;Boston University;United States;56,1;73;88,9;82,8;
101-150;101-150;Brown University;United States;61,7;72,4;85,8;68,7;
101-150;101-150;Chalmers University of Technology;Sweden;65,8;57,6;81,8;74,6;
101-150;151-200;Complutense University of Madrid;Spain;60,6;72,6;78,2;72,7;
101-150;101-150;HSE University;Russia;66,1;80,1;76,9;76,3;
101-150;151-200;Huazhong University of Science and Technology;China (Mainland);57,5;59,1;88,5;84,7;
101-150;101-150;Indian Institute of Technology Kanpur (IITK);India;65,9;77,5;72,3;69,8;
101-150;101-150;Indian Institute of Technology Kharagpur (IIT-KGP);India;65;76,1;82,8;76,3;
101-150;101-150;Indian Statistical Institute;India;64,9;56,6;76,2;77,1;
101-150;101-150;Iowa State University;United States;60,5;57,9;82,7;76,3;
101-150;51-100;King Abdulaziz University (KAU);Saudi Arabia;56,8;63;89,5;88,6;
101-150;151-200;King Abdullah University of Science & Technology (KAUST);Saudi Arabia;65,6;61,5;82,2;75,4;
101-150;101-150;Lomonosov Moscow State University;Russia;70,8;86;62,2;62,6;
