2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
82=;83=;IE University;Spain;72;74,5;64,8;71,1;71,9
82=;68=;Stockholm School of Economics;Sweden;78;55,9;81,8;79,3;71,9
84=;151-200;Renmin (People's) University of China;China (Mainland);69,5;66,9;79,6;89;71,7
84=;71=;University of St.Gallen (HSG);Switzerland;70;67,6;82,9;81;71,7
86;76=;Pennsylvania State University;United States;66,9;70;83,4;88,4;71,6
87=;92=;Carnegie Mellon University;United States;71,5;70,5;73;69,9;71,2
87=;76=;University of Technology Sydney;Australia;69;65,4;82,3;88,4;71,2
89;79=;KU Leuven;Belgium;68,6;67,4;80,7;84,2;71
90;90=;University of Zurich;Switzerland;71,9;61,5;82,2;82,7;70,9
91;101-150;Université Paris 1 Panthéon-Sorbonne ;France;68,6;72,6;72,1;73,4;70,6
92=;88=;Alma Mater Studiorum - University of Bologna;Italy;66,9;69,3;78,6;84,2;70,5
92=;85=;Tecnológico de Monterrey;Mexico;72,4;82;53,7;43;70,5
92=;92=;Universidade de São Paulo;Brazil;70,3;77,3;62,3;59,5;70,5
95;88=;Texas A&M University;United States;65,1;69;87,7;84,2;70,4
96;101-150;Universitat Pompeu Fabra (Barcelona);Spain;69,8;63,9;82;79,3;70,2
97;101-150;Université de Montréal ;Canada;69,4;66,5;76,6;77,5;70,1
98=;95=;Indiana University Bloomington;United States;68,3;59,4;90,8;89,7;70
98=;83=;Macquarie University;Australia;65,5;64,1;83,2;97,3;70
98=;95=;University of Alberta;Canada;66,8;67,1;81,3;83,4;70
101-150;201-250;Airlangga University;Indonesia;65,7;73,6;59;69,9;
101-150;101-150;Arizona State University;United States;62,6;64,6;89,5;88,4;
101-150;101-150;Boston College;United States;67,4;58,1;93,3;86,4;
101-150;101-150;Cardiff University;United Kingdom;64,3;65,1;75,7;78,4;
101-150;101-150;Deakin University;Australia;63,4;59,8;81,6;89,7;
101-150;101-150;EDHEC Business School;France;68,8;64,3;69,1;71,1;
101-150;101-150;Georgetown University;United States;61,3;67;82,9;75,5;
101-150;101-150;Goethe-University Frankfurt am Main;Germany;65,5;62,5;79,3;83,4;
101-150;101-150;Hitotsubashi University;Japan;66,3;71,4;58,1;62,8;
101-150;101-150;HSE University;Russia;69,5;70,8;61,6;68,6;
101-150;101-150;Humboldt-Universität zu Berlin;Germany;67,3;64,3;71,8;67,2;
101-150;151-200;Johns Hopkins University;United States;59,8;68,3;77,6;78,4;
101-150;98=;King Abdulaziz University (KAU);Saudi Arabia;69;71,2;68,6;72,2;
