2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
51-100;51-100;University of Bern;Switzerland;62,1;63,2;89,4;72,2;
51-100;51-100;University of Birmingham;United Kingdom;64,8;63;93,5;84,2;
51-100;51-100;University of Groningen;Netherlands;64,4;59,5;97,2;81,7;
51-100;;University of Illinois at Urbana-Champaign;United States;62,3;59,8;92,3;79,9;
51-100;;University of Johannesburg;South Africa;61,4;63,3;83,8;83,4;
51-100;51-100;University of Kwazulu-Natal;South Africa;72,5;60;76,4;72,2;
51-100;51-100;University of Massachusetts Amherst;United States;68,8;57,2;88,4;75,8;
51-100;;University of Minnesota Twin Cities;United States;67,3;49,8;92,9;81,7;
51-100;51-100;University of Oslo;Norway;60,5;51,1;94,5;85;
51-100;51-100;University of Pennsylvania;United States;64,6;69,9;89,8;70,9;
51-100;51-100;University of the Western Cape;South Africa;66,7;52,5;84,8;69,5;
51-100;51-100;University of Wisconsin-Madison;United States;71,9;52,5;87,7;69,5;
51-100;101-110;University of York;United Kingdom;59,8;63,9;92,5;79,9;
51-100;51-100;Uppsala University;Sweden;67;61,7;88,1;70,9;
51-100;101-110;Zhejiang University;China (Mainland);59,8;63,9;92,5;80,8;
101-120;51-100;Arizona State University;United States;57,4;60,4;95,4;81,7;
101-120;;Bandung Institute of Technology (ITB);Indonesia;65,3;72,9;76,1;60,9;
101-120;;Eindhoven University of Technology;Netherlands;65,6;54,3;82;58,8;
101-120;51-100;Gadjah Mada University;Indonesia;71;73,7;68,1;47,7;
101-120;;Goldsmiths, University of London;United Kingdom;63,8;53,6;84,7;62,9;
101-120;;Indira Gandhi Institute of Development and Research;India;69;53,4;72,8;56,5;
101-120;51-100;Sapienza University of Rome;Italy;56,1;87,1;90,5;70,9;
101-120;;The University of Exeter;United Kingdom;58,5;64,2;87,6;73,5;
101-120;;Universitat Pompeu Fabra (Barcelona);Spain;61,2;78,2;79,6;60,9;
101-120;51-100;Universite libre de Bruxelles;Belgium;54,8;87,7;89,6;77,9;
101-120;101-110;University of Bristol;United Kingdom;61,1;62,9;82,4;68;
101-120;;University of Geneva;Switzerland;61;72,2;79,4;68;
101-120;101-110;University of Ghana;Ghana;61,8;37,5;89,2;87,2;
101-120;51-100;University of Glasgow;United Kingdom;59,7;65,6;84,4;69,5;
101-120;51-100;University of Nairobi;Kenya;63;50;83;70,9;
101-120;51-100;University of Otago;New Zealand;55,1;69;93,3;80,8;
101-120;;University of Ottawa;Canada;55,9;63,3;90,5;80,8;
101-120;101-110;University of Pretoria;South Africa;60,4;62,4;84,5;70,9;
101-120;;University of Reading;United Kingdom;60,4;53,1;91,3;75,8;
101-120;51-100;Vrije Universiteit Amsterdam;Netherlands;59,7;43,9;97,1;80,8;
101-120;;York University;Canada;56,8;54,4;91,1;84,2;
