2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
51-100;48=;University of Florida;United States;74,4;64,9;88,6;85,5;
51-100;51-100;University of Glasgow;United Kingdom;76,7;73,8;79,7;71;
51-100;51-100;University of Gothenburg;Sweden;67,8;57;91,6;85,5;
51-100;48=;University of Groningen;Netherlands;68,7;65;94,4;83,5;
51-100;51-100;University of Illinois at Chicago (UIC);United States;69;64,4;91,7;76;
51-100;51-100;University of Leicester;United Kingdom;73,5;60,4;85,9;77,4;
51-100;51-100;University of Maryland, College Park;United States;67,6;66,2;92;86;
51-100;51-100;University of Minnesota Twin Cities;United States;66,9;64,2;86,9;86,5;
51-100;51-100;University of Navarra;Spain;74,1;80,3;86,8;80;
51-100;51-100;University of Oslo;Norway;73,7;58,5;88,2;83,5;
51-100;51-100;University of Technology Sydney;Australia;71,1;73,3;87,9;71,9;
51-100;51-100;University of Westminster;United Kingdom;78,4;56,1;84,3;75,2;
51-100;51-100;Utrecht University;Netherlands;69,9;68,4;88,8;80,6;
51-100;51-100;Vrije Universiteit Amsterdam;Netherlands;68,6;57,2;96,6;84,5;
51-100;51-100;Vrije Universiteit Brussel (VUB);Belgium;68,2;60,5;94,1;77,4;
51-100;101-150;Wuhan University;China (Mainland);70,7;74,1;83,8;74,4;
51-100;151-200;Zhejiang University;China (Mainland);73,7;84,1;80;69;
101-150;101-150;Aalto University;Finland;69,1;66,1;83,7;68;
101-150;101-150;Alma Mater Studiorum - University of Bologna;Italy;74,5;78,7;77,4;65,8;
101-150;51-100;Arizona State University;United States;64,9;69,8;88,3;85;
101-150;101-150;Carnegie Mellon University;United States;64,7;74;91,8;71,9;
101-150;101-150;City University of New York;United States;67,1;67,7;77,6;76,7;
101-150;101-150;Concordia University;Canada;71,8;62,7;84,5;76;
101-150;101-150;Dublin City University;Ireland;65;65,5;87,9;77,4;
101-150;101-150;Humboldt-Universität zu Berlin;Germany;79,8;73;75,1;58,9;
101-150;101-150;Johannes Gutenberg Universität Mainz;Germany;70,6;45,4;88,3;78,8;
101-150;151-200;Johns Hopkins University;United States;66,4;75,5;89,5;71,9;
101-150;101-150;Lancaster University;United Kingdom;67,6;70,8;85,9;76;
101-150;101-150;Leiden University;Netherlands;68,1;67,6;80,6;72,8;
101-150;101-150;Macquarie University;Australia;65;68,7;87,7;72,8;
101-150;151-200;National Taiwan University (NTU);Taiwan;72;77,8;76,8;65,8;
101-150;101-150;Newcastle University;United Kingdom;63,7;74,2;90,5;76;
101-150;151-200;Renmin (People's) University of China;China (Mainland);74,7;70,4;75,4;65,8;
101-150;101-150;Shanghai Jiao Tong University;China (Mainland);70,1;82,2;83,1;70;
101-150;101-150;Simon Fraser University;Canada;68,6;62,5;83,9;77,4;
101-150;151-200;SOAS University of London ;United Kingdom;73,3;63,6;77,6;63,3;
101-150;51-100;Stockholm University;Sweden;70,5;64,3;84,3;76,7;
101-150;101-150;Sungkyunkwan University(SKKU);South Korea;73,9;74,8;80,5;66,9;
101-150;151-200;Tecnológico de Monterrey;Mexico;73;86,8;71,4;63,3;
101-150;51-100;Temple University;United States;64,2;51,7;94,8;83,5;
101-150;151-200;The University of Alabama;United States;61,4;62,7;94,2;80,6;
101-150;101-150;The University of Arizona;United States;65,8;61,2;86,9;80,6;
101-150;101-150;The University of Auckland;New Zealand;67,1;76,5;80,5;71;
101-150;101-150;The University of Tokyo;Japan;77,2;87,5;71,9;61,9;
101-150;101-150;Universidade de São Paulo;Brazil;77,3;81,6;64,1;63,3;
101-150;151-200;Università Cattolica del Sacro Cuore;Italy;68,9;73,5;82,8;71;
101-150;101-150;Universitat Autònoma de Barcelona;Spain;73;71,2;79,1;73,6;
101-150;101-150;Universitat de Barcelona;Spain;71,4;73,8;77,9;71,9;
101-150;101-150;Universität Hamburg;Germany;70,2;63,6;82,7;74,4;
101-150;151-200;Universität Leipzig;Germany;67,9;53,7;87,2;72,8;
101-150;101-150;Universitat Pompeu Fabra (Barcelona);Spain;66,3;71,7;84;78,1;
101-150;101-150;Université de Montréal ;Canada;70,6;72,2;81,5;66,9;
101-150;101-150;Universiti Malaya (UM);Malaysia;69,6;78,8;81,9;75,2;
101-150;51-100;University of Antwerp;Belgium;65,6;56,8;89,7;82,9;
101-150;101-150;University of Bergen;Norway;68,6;52,1;89;78,8;
101-150;101-150;University of California, Davis;United States;68,5;70,2;86;76;
101-150;151-200;University of California, Irvine;United States;68,4;60,9;86,3;71,9;
101-150;101-150;University of California, San Diego (UCSD);United States;70,4;72,4;85,1;72,8;
101-150;101-150;University of East Anglia (UEA);United Kingdom;68;57,1;83,4;74,4;
101-150;151-200;University of Huddersfield;United Kingdom;72,6;58,9;87,5;58,9;
101-150;51-100;University of Iowa;United States;69,3;58,6;86,8;78,8;
101-150;101-150;University of Massachusetts Amherst;United States;64,7;61,9;90,8;81,2;
101-150;101-150;University of Oregon;United States;63,7;62,6;93,9;86,9;
101-150;101-150;University of Sussex;United Kingdom;70,2;57,7;83,4;71;
101-150;101-150;University of Utah;United States;60,5;58,1;92,6;86,9;
101-150;101-150;Uppsala University;Sweden;67,1;59,4;85;77,4;
101-150;101-150;Westfälische Wilhelms-Universität Münster ;Germany;63,1;50,2;94,1;80;
151-200;151-200;Western Sydney University;Australia;62,3;58,4;84,1;74,4;
151-200;;Beijing Normal University ;China (Mainland);72,1;55,2;72;64,6;
151-200;151-200;Birkbeck, University of London;United Kingdom;70,7;40,1;86,5;68;
151-200;151-200;Bournemouth University;United Kingdom;62,2;57,3;89,6;76,7;
151-200;151-200;Brown University;United States;70,3;73;77,7;60,5;
151-200;151-200;Carleton University;Canada;62,1;65,2;81,5;71;
151-200;151-200;Charles University;Czech Republic;70,8;66,1;71,9;65,8;
151-200;201-240;Communication University of China;China (Mainland);77;35;69,1;61,9;
151-200;151-200;Curtin University;Australia;59,6;67,9;85,1;73,6;
151-200;101-150;Deakin University;Australia;62,2;67,3;85;79,4;
151-200;151-200;George Mason University;United States;58,2;51,9;90,7;82,4;
151-200;201-240;Hanyang University;South Korea;73;75,1;68,7;53,6;
151-200;151-200;HSE University;Russia;65,4;82,6;68,8;68;
151-200;201-240;Kyoto University;Japan;70,3;82,5;72;51,4;
151-200;151-200;Lomonosov Moscow State University;Russia;76,3;89;59,7;49,1;
151-200;201-240;Nanjing University;China (Mainland);74,1;60,4;72,1;65,8;
151-200;151-200;National Chengchi University;Taiwan;65,2;64,7;80,4;69;
151-200;151-200;Northeastern University;United States;60,3;58,4;85,8;74,4;
151-200;151-200;Ohio University;United States;64,1;57,5;82,1;74,4;
151-200;151-200;Queen Mary University of London;United Kingdom;65,3;71,5;85;64,6;
151-200;151-200;Sapienza University of Rome;Italy;70,2;76;70,1;64,6;
151-200;101-150;Sorbonne University;France;76,9;80,1;65,1;53,6;
151-200;;Sun Yat-sen University;China (Mainland);65,1;67,7;80,2;66,9;
151-200;101-150;Texas A&M University;United States;61,5;71,9;83;76,7;
151-200;101-150;The Hebrew University of Jerusalem;Israel;66,6;54,1;79,4;78,1;
151-200;201-240;The University of Western Australia;Australia;62,1;70,9;84,6;66,9;
151-200;101-150;Universidad de Buenos Aires (UBA);Argentina;78,5;87,2;58,4;53,6;
151-200;151-200;Universidad de La Sabana;Colombia;71;72,7;70,3;61,9;
151-200;151-200;Universidad de Sevilla;Spain;62,6;62,9;76,7;76;
151-200;201-240;Universidad Iberoamericana IBERO;Mexico;70,6;75,4;67,8;63,3;
151-200;101-150;Universität Bremen;Germany;69,2;48,7;83,7;68;
151-200;151-200;Université du Québec;Canada;72;59,6;79;66,9;
151-200;151-200;Universite libre de Bruxelles;Belgium;64;73,4;76,3;66,9;
151-200;201-240;Université Paris 1 Panthéon-Sorbonne ;France;74,7;80,1;62,8;51,4;
151-200;151-200;Universiti Kebangsaan Malaysia (UKM);Malaysia;65,4;70,1;79,3;70;
151-200;201-240;Universiti Sains Malaysia (USM);Malaysia;66,3;71,2;74,2;64,6;
151-200;101-150;University of Bristol;United Kingdom;65;75,5;86,2;65,8;
151-200;151-200;University of Canberra ;Australia;60;57,8;90,8;76;
151-200;101-150;University of Cape Town;South Africa;65,9;70,3;81;71,9;
151-200;101-150;University of Central Florida;United States;61,4;61,6;88,7;74,4;
151-200;201-240;University of Hawai_i at M_noa;United States;59,2;67,6;86,4;76,7;
151-200;201-240;University of Liverpool;United Kingdom;69,6;67,4;78,7;64,6;
151-200;101-150;University of Miami;United States;61,6;63,8;88,7;75,2;
151-200;151-200;University of Nottingham;United Kingdom;66,2;74,7;79,8;69;
151-200;;University of Ottawa;Canada;60,2;72,3;83,6;74,4;
151-200;151-200;University of Salamanca;Spain;64;61,5;78;71,9;
151-200;151-200;University of South Carolina;United States;63,7;56,3;87;77,4;
151-200;151-200;University of Southern Denmark (SDU);Denmark;59;67,9;89,2;79,4;
151-200;151-200;University of Stirling;United Kingdom;62,8;57,3;85,9;74,4;
151-200;;University of the Arts London;United Kingdom;72,7;67,3;66,9;61,9;
151-200;201-240;University of Virginia;United States;63;63,2;81,1;71,9;
151-200;151-200;York University;Canada;64,9;66,5;83,1;76;
201-250;151-200;Aalborg University;Denmark;57,9;66;86;74,4;
201-250;;Aristotle University of Thessaloniki;Greece;59,3;65,1;78,8;64,6;
201-250;151-200;Auckland University of Technology (AUT);New Zealand;60;63,8;81,9;71,9;
201-250;;Chung-Ang University (CAU);South Korea;63,4;64,1;76,8;63,3;
201-250;;Ewha Womans University;South Korea;70,6;63,5;71,8;57,3;
201-250;151-200;Florida State University;United States;58,6;67,3;82,8;73,6;
201-250;151-200;Georgia Institute of Technology;United States;58;75,7;80,2;61,9;
201-250;151-200;Griffith University;Australia;57,7;61,7;83,7;74,4;
201-250;201-240;La Trobe University;Australia;57;65,1;82,8;74,4;
201-250;;North Carolina State University;United States;55,1;61,4;88,1;73,6;
201-250;201-240;Nottingham Trent University;United Kingdom;61,6;62,3;79,7;71;
201-250;201-240;Pontificia Universidad Católica de Valparaíso;Chile;65,8;66,3;74;65,8;
201-250;151-200;Pontificia Universidad Javeriana;Colombia;76,7;80,3;58,1;46,4;
201-250;151-200;Radboud University ;Netherlands;57,5;55,5;88,2;78,8;
201-250;151-200;Roskilde University;Denmark;59,1;57,9;80,9;72,8;
201-250;151-200;Royal Holloway University of London;United Kingdom;62;58,8;83,4;68;
201-250;201-240;Ryerson University;Canada;61,7;66,2;77,7;66,9;
201-250;;Saint Petersburg State University;Russia;66,6;78,5;58;60,5;
201-250;;Sciences Po ;France;62,4;74,6;70,6;61,9;
201-250;201-240;Swinburne University of Technology;Australia;60,6;58,6;81;70;
201-250;;Taylor's University;Malaysia;61,5;77,9;69,4;61,9;
201-250;201-240;The New School;United States;75,2;58,3;66,7;51,4;
201-250;151-200;The University of Tennessee, Knoxville;United States;56,2;55,3;86,2;76;
201-250;;Universidad de Guadalajara (UDG);Mexico;67,7;64,9;66,9;60,5;
201-250;201-240;Universidad Rey Juan Carlos;Spain;54,5;61,7;85,2;75,2;
201-250;;Universidade Federal do Rio de Janeiro;Brazil;66,7;71;64,3;58,9;
201-250;201-240;Universidade Nova de Lisboa;Portugal;61,5;61,8;78,1;63,3;
